City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-03-04 07:56:14,19.7297,-155.09,66.2,88,90,5.75
1,Jamestown,US,2021-03-04 08:00:59,42.097,-79.2353,33.01,97,90,10.45
2,Norman Wells,CA,2021-03-04 08:01:00,65.282,-126.8329,-27.4,75,1,2.3
3,Ushuaia,AR,2021-03-04 08:00:05,-54.8,-68.3,46.4,87,20,6.91
4,Bambous Virieux,MU,2021-03-04 08:01:01,-20.3428,57.7575,86.0,62,40,11.5
5,Hofn,IS,2021-03-04 08:01:01,64.2539,-15.2082,30.2,86,20,10.36
6,Katsuura,JP,2021-03-04 08:01:02,35.1333,140.3,57.0,62,75,3.44
7,Geraldton,AU,2021-03-04 08:01:03,-28.7667,114.6,82.4,57,40,14.97
8,Pedernales,DO,2021-03-04 08:01:04,18.0384,-71.744,73.11,58,0,2.46
9,Naze,JP,2021-03-04 08:01:05,28.3667,129.4833,68.0,68,75,13.8
10,Beaune,FR,2021-03-04 08:01:05,47.0833,4.75,45.0,93,67,2.08
11,Talara,PE,2021-03-04 08:01:06,-4.5772,-81.2719,75.58,75,95,5.57
12,Vaini,TO,2021-03-04 08:01:06,-21.2,-175.2,78.8,89,75,5.75
13,Dikson,RU,2021-03-04 08:01:07,73.5069,80.5464,-26.12,83,3,12.8
14,Albany,US,2021-03-04 08:01:08,42.6001,-73.9662,35.01,87,51,3.62
15,Tocopilla,CL,2021-03-04 07:53:46,-22.092,-70.1979,67.93,74,1,3.94
16,Cape Town,ZA,2021-03-04 08:01:09,-33.9258,18.4232,71.01,77,75,13.8
17,Mar Del Plata,AR,2021-03-04 08:00:06,-38.0023,-57.5575,70.0,94,0,3.44
18,Ahipara,NZ,2021-03-04 07:55:11,-35.1667,173.1667,62.71,86,1,3.56
19,Lompoc,US,2021-03-04 07:54:45,34.6391,-120.4579,44.01,87,1,4.0
20,Ilulissat,GL,2021-03-04 07:51:18,69.2167,-51.1,26.6,80,100,12.66
21,Sur,OM,2021-03-04 07:52:04,22.5667,59.5289,90.0,28,0,6.6
22,Te Anau,NZ,2021-03-04 08:01:12,-45.4167,167.7167,50.41,67,84,8.75
23,Hermanus,ZA,2021-03-04 08:01:13,-34.4187,19.2345,66.99,90,96,1.99
24,Betanzos,ES,2021-03-04 08:01:14,43.2804,-8.2147,54.0,93,0,1.14
25,Tuatapere,NZ,2021-03-04 07:51:43,-46.1333,167.6833,57.0,59,98,4.0
26,Thompson,CA,2021-03-04 08:01:15,55.7435,-97.8558,-2.2,84,20,3.44
27,Lorengau,PG,2021-03-04 07:51:23,-2.0226,147.2712,82.47,77,99,13.58
28,Grindavik,IS,2021-03-04 08:01:17,63.8424,-22.4338,37.4,100,75,17.27
29,Port Alfred,ZA,2021-03-04 08:01:18,-33.5906,26.891,73.0,88,100,1.99
30,Leningradskiy,RU,2021-03-04 08:01:19,69.3833,178.4167,-8.28,88,100,35.48
31,Touros,BR,2021-03-04 07:52:41,-5.1989,-35.4608,75.2,94,40,3.44
32,Syracuse,IT,2021-03-04 07:53:16,37.0881,15.2792,55.99,87,0,8.05
33,Dawson,US,2021-03-04 08:01:22,31.7735,-84.4466,50.0,87,1,3.44
34,Anuradhapura,LK,2021-03-04 08:01:23,8.3565,80.4173,90.95,40,0,8.16
35,Wanning,CN,2021-03-04 08:01:23,18.8003,110.3967,78.31,70,59,7.07
36,Santa Rosalia,MX,2021-03-04 08:01:23,27.3167,-112.2833,57.25,68,100,7.96
37,Bilibino,RU,2021-03-04 08:01:25,68.0546,166.4372,0.23,90,100,8.12
38,Punta Arenas,CL,2021-03-04 08:01:25,-53.15,-70.9167,48.2,81,40,13.8
39,Kodiak,US,2021-03-04 08:01:26,57.79,-152.4072,30.2,64,1,13.8
40,Joao Pinheiro,BR,2021-03-04 08:01:27,-17.7425,-46.1725,64.78,91,4,2.93
41,Ribeira Grande,PT,2021-03-04 08:01:28,38.5167,-28.7,59.0,82,20,4.61
42,Kavieng,PG,2021-03-04 08:01:28,-2.5744,150.7967,83.3,73,60,14.38
